,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,merauke,92,ID,1552779902,100,-8.49,-8.49,74.64,13.22
135,naze,56,NG,1552779902,91,5.43,5.43,74.82,5.06
136,bambous virieux,40,MU,1552779548,94,-20.34,-20.34,77.0,3.94
137,saldanha,0,PT,1552779902,61,41.42,41.42,38.55,5.39
138,ambilobe,12,MG,1552779902,97,-13.19,-13.19,68.79,2.71
139,portland,75,US,1552779824,64,45.52,45.52,64.0,3.36
140,ribeira grande,68,PT,1552779789,94,38.52,38.52,62.4,6.85
141,tual,48,ID,1552779903,98,-5.67,-5.67,83.82,10.65
142,cockburn town,32,TC,1552779903,100,21.46,21.46,77.25,16.91
143,brae,88,GB,1552778400,93,60.4,60.4,37.4,3.36
144,tabuk,88,PH,1552779903,96,17.41,17.41,66.94,1.14
145,santa maria,92,BR,1552779824,86,-29.69,-29.69,71.04,6.73
146,reconquista,48,AR,1552779904,84,-29.14,-29.14,72.03,3.83
147,manokwari,20,ID,1552779904,93,-0.87,-0.87,82.51,1.36
148,nago,0,IT,1552779904,81,45.88,45.88,53.01,2.24
149,aksu,0,KZ,1552777200,85,52.04,52.04,17.6,11.18
150,tecpan,20,GT,1552779165,36,14.76,14.76,77.0,20.8
151,khandyga,24,RU,1552779905,64,62.65,62.65,-0.56,1.14
152,itarema,76,BR,1552779775,95,-2.92,-2.92,77.61,6.62
153,pevek,0,RU,1552779764,90,69.7,69.7,-15.23,13.78
154,gizo,75,IL,1552779786,82,31.8,31.8,57.99,17.22
155,nouadhibou,0,MR,1552777200,60,20.93,20.93,69.8,13.87
156,campbell river,90,CA,1552779021,62,50.02,50.02,51.8,2.24
157,adre,0,TD,1552779906,18,13.47,13.47,70.81,15.79
158,ust-ishim,32,RU,1552779906,79,57.69,57.69,16.99,6.96
159,lebu,0,ET,1552779766,69,8.96,8.96,47.86,4.38
160,kargasok,44,RU,1552779778,83,59.06,59.06,18.57,2.59
161,moju,20,BR,1552777200,83,-1.89,-1.89,80.6,5.82
162,jimma,92,ET,1552779907,56,7.67,7.67,65.82,1.14
163,tulun,80,RU,1552779907,76,54.56,54.56,29.01,7.29
164,algiers,90,US,1552779783,47,29.94,29.94,59.0,4.7
165,santa cruz del sur,76,CU,1552779907,63,20.71,20.71,79.59,14.45
166,kutum,8,SD,1552779908,18,14.2,14.2,59.29,10.54
167,severo-kurilsk,0,RU,1552779908,100,50.68,50.68,27.75,1.36
168,airai,92,TL,1552779908,96,-8.93,-8.93,68.92,1.59
169,porto novo,40,BR,1552777200,100,-23.68,-23.68,73.4,1.12
170,dangriga,20,BZ,1552779075,66,16.97,16.97,84.2,8.05
171,mount isa,24,AU,1552777200,18,-20.73,-20.73,80.6,5.82
172,carmen,0,PH,1552779909,66,7.2,7.2,81.21,3.71
173,namibe,12,AO,1552779909,100,-15.19,-15.19,78.46,3.15
174,puerto madero,75,AR,1552779907,88,-34.61,-34.61,75.2,13.87
175,port blair,0,IN,1552779844,100,11.67,11.67,81.84,10.54
176,kupang,75,ID,1552777200,94,-10.16,-10.16,78.8,2.24
177,hokitika,20,NZ,1552779825,88,-42.72,-42.72,67.44,3.6
178,hilo,90,US,1552779853,57,19.71,19.71,78.8,9.17
179,hambantota,44,LK,1552779910,100,6.12,6.12,79.36,11.21
180,yar-sale,36,RU,1552779911,65,66.83,66.83,-8.39,1.03
181,petropavlovsk-kamchatskiy,0,RU,1552777200,56,53.05,53.05,14.0,6.71
182,westerland,90,NL,1552779910,76,52.89,52.89,52.0,34.45
183,calabozo,20,VE,1552779911,41,8.92,8.92,90.79,16.24
184,poya,12,NC,1552779913,97,-21.35,-21.35,79.68,6.17
185,kruisfontein,0,ZA,1552779913,80,-34.0,-34.0,64.92,10.65
186,mahebourg,40,MU,1552779548,94,-20.41,-20.41,77.0,3.94
187,cherskiy,20,RU,1552779782,48,68.75,68.75,-16.54,2.48
188,sioux lookout,75,CA,1552777200,50,50.1,50.1,28.4,5.82
189,nadym,32,RU,1552779913,62,65.53,65.53,-7.72,3.04
190,pilot butte,75,CA,1552779766,74,50.48,50.48,35.6,10.29
191,krasnaya gora,90,RU,1552777200,93,53.01,53.01,37.4,6.71
192,ulaanbaatar,0,MN,1552779000,71,47.92,47.92,6.8,2.24
193,karratha,0,AU,1552779698,68,-20.74,-20.74,82.56,4.5
194,dudinka,24,RU,1552779914,47,69.41,69.41,-16.13,3.15
195,mehamn,44,NO,1552779915,83,71.03,71.03,25.54,15.57
196,okha,8,RU,1552779915,92,53.59,53.59,19.83,3.83
197,kununurra,0,AU,1552779120,70,-15.77,-15.77,86.0,5.82
198,skegness,0,GB,1552779906,75,53.14,53.14,43.0,12.75
199,sept-iles,90,CA,1552779512,86,50.2,50.2,28.4,20.8
200,walvis bay,0,NA,1552777326,82,-22.95,-22.95,62.01,3.36
201,sitka,0,US,1552779089,20,37.17,37.17,64.0,4.0
202,nanortalik,92,GL,1552779916,100,60.14,60.14,24.46,20.6
203,cabral,75,BR,1552779369,83,-22.82,-22.82,82.4,2.24
204,baykit,0,RU,1552779916,66,61.68,61.68,1.51,4.5
205,puerto ayora,0,EC,1552779083,74,-0.74,-0.74,80.6,9.17
206,fortuna,0,ES,1552779626,53,38.18,38.18,57.0,4.7
207,fare,20,PF,1552779917,98,-16.7,-16.7,84.36,11.65
208,faanui,68,PF,1552779772,100,-16.48,-16.48,84.0,10.76
209,abu kamal,80,SY,1552779917,92,34.45,34.45,48.49,11.99
210,los llanos de aridane,36,ES,1552779365,72,28.66,28.66,64.4,11.41
211,noumea,75,NC,1552777200,62,-22.28,-22.28,86.0,4.7
212,deputatskiy,36,RU,1552779777,44,69.3,69.3,-16.31,2.93
213,kavieng,32,PG,1552779918,98,-2.57,-2.57,84.67,6.29
214,zhuanghe,0,CN,1552779918,76,39.7,39.7,39.81,6.62
215,dedza,12,MW,1552779919,89,-14.38,-14.38,60.96,4.38
216,berdigestyakh,0,RU,1552779919,65,62.1,62.1,-1.06,5.95
217,trinidad,64,UY,1552779816,66,-33.52,-33.52,74.55,8.19
218,hovd,0,NO,1552779877,74,63.83,63.83,35.01,13.87
219,smithers,75,CA,1552777200,78,54.78,54.78,39.2,6.93
220,salalah,40,OM,1552776600,78,17.01,17.01,77.0,4.7
221,chihuahua,40,MX,1552779494,35,28.66,28.66,64.4,14.99
222,pangai,68,TO,1552779920,100,-19.8,-19.8,78.42,8.41
223,port hardy,75,CA,1552777200,66,50.7,50.7,51.8,16.11
224,sri aman,36,MY,1552777200,100,1.24,1.24,71.6,2.71
225,auki,0,NG,1552779921,25,12.18,12.18,76.8,9.53
226,carnarvon,0,ZA,1552779921,71,-30.97,-30.97,60.42,4.72
227,tsaratanana,88,MG,1552779921,97,-16.8,-16.8,68.79,3.38
228,talara,80,PE,1552779921,66,-4.58,-4.58,80.26,6.96
229,pauini,8,BR,1552779921,87,-7.71,-7.71,81.16,2.37
230,katsuura,75,JP,1552777200,75,33.93,33.93,48.2,5.82
231,marzuq,12,YE,1552779922,91,14.4,14.4,52.86,2.71
232,comodoro rivadavia,0,AR,1552777200,41,-45.87,-45.87,75.2,9.17
233,ust-maya,0,RU,1552779922,67,60.42,60.42,1.74,3.15
234,laguna,75,MX,1552776060,27,27.52,27.52,77.0,10.29
235,simao,0,CN,1552779922,83,22.76,22.76,55.92,1.7
236,esperance,20,TT,1552779607,78,10.24,10.24,79.0,8.05
237,kitob,40,UZ,1552777200,51,39.12,39.12,59.0,6.93
238,qaqortoq,92,GL,1552776600,74,60.72,60.72,30.2,19.46
239,nefteyugansk,75,RU,1552777200,85,61.09,61.09,12.2,6.71
240,puerto el triunfo,20,SV,1552776600,55,13.27,13.27,91.4,6.93
241,vestmannaeyjar,0,IS,1552779923,94,63.44,63.44,37.38,13.33
242,adet,0,ET,1552779923,86,11.26,11.26,51.06,2.82
243,lompoc,1,US,1552779703,52,34.64,34.64,75.0,19.46
244,lorengau,56,PG,1552779924,100,-2.02,-2.02,82.24,6.96
245,sainte-suzanne,0,CH,1552779920,22,47.51,47.51,48.99,11.65
246,arrifes,40,PT,1552779875,87,37.77,37.77,60.8,10.29
247,the valley,40,AI,1552779066,73,18.22,18.22,78.8,5.82
248,pochutla,20,MX,1552779193,52,15.74,15.74,88.0,12.55
249,drumheller,36,CA,1552779844,67,51.47,51.47,37.0,3.0
250,burnie,80,AU,1552779904,62,-41.05,-41.05,71.01,8.01
251,longyearbyen,20,NO,1552776600,64,78.22,78.22,-2.21,13.87
252,tombouctou,0,ML,1552779925,29,16.77,16.77,72.57,7.74
253,touros,40,BR,1552777200,94,-5.2,-5.2,78.8,6.93
254,tomatlan,36,MX,1552779926,56,19.93,19.93,78.82,3.6
255,megion,90,RU,1552777200,92,61.04,61.04,21.2,6.71
256,damietta,0,EG,1552779926,81,31.42,31.42,55.96,12.21
257,guerrero negro,0,MX,1552779770,38,27.97,27.97,70.27,8.63
258,yatou,40,CM,1552777200,94,3.63,3.63,75.2,2.24
259,matara,76,PE,1552779926,81,-13.74,-13.74,48.63,1.92
260,clyde river,20,CA,1552777380,74,70.47,70.47,-27.41,8.05
261,buala,20,SB,1552779927,79,-8.15,-8.15,87.33,4.83
262,rio pardo,92,BR,1552779927,72,-29.98,-29.98,75.63,17.36
263,chulumani,92,BO,1552779927,98,-16.41,-16.41,55.29,1.59
264,saint george,20,GR,1552776600,66,39.45,39.45,51.8,4.38
265,kahului,40,US,1552779768,57,20.89,20.89,80.6,10.29
266,west odessa,36,US,1552779739,32,31.84,31.84,57.2,5.82
267,newtownards,64,GB,1552779907,86,54.59,54.59,37.4,10.29
268,bozhou,44,CN,1552779929,79,33.86,33.86,49.8,2.48
269,kimbe,92,PG,1552779929,100,-5.56,-5.56,78.33,6.17
270,sabla,0,NG,1552779929,42,12.75,12.75,73.51,5.39
271,husavik,48,CA,1552779640,85,50.56,50.56,26.01,7.0
272,mogadishu,0,SO,1552779901,98,2.04,2.04,81.75,21.05
273,marshall,1,US,1552779795,49,39.39,39.39,46.99,8.05
274,mbigou,68,GA,1552779930,96,-1.9,-1.9,69.06,1.36
275,menongue,32,AO,1552779930,74,-14.66,-14.66,65.46,4.16
276,east liverpool,75,US,1552779928,55,40.62,40.62,37.4,18.34
277,laredo,90,US,1552778106,27,27.51,27.51,62.6,8.05
278,ust-kuyga,32,RU,1552779931,68,70.0,70.0,-23.56,2.71
279,green river,1,US,1552776840,47,41.53,41.53,35.6,8.05
280,presidencia roque saenz pena,92,AR,1552779931,97,-26.79,-26.79,70.68,9.75
281,arman,36,RU,1552779931,72,59.7,59.7,7.36,3.71
282,skagen,88,SE,1552779929,100,58.6,58.6,37.4,5.82
283,turukhansk,0,RU,1552779932,43,65.8,65.8,-0.29,10.98
284,kharp,36,RU,1552779932,64,66.82,66.82,0.03,6.06
285,banjar,76,ID,1552779932,96,-7.37,-7.37,72.48,2.59
286,fort nelson,75,CA,1552777200,28,58.81,58.81,46.4,2.71
287,tateyama,75,JP,1552779605,48,36.66,36.66,42.01,9.17
288,lazaro cardenas,40,MX,1552779795,29,28.39,28.39,64.4,14.99
289,baruun-urt,0,MN,1552779935,64,46.68,46.68,27.66,15.9
290,cintalapa,80,MX,1552779935,94,16.7,16.7,64.87,10.09
291,sobolevo,92,RU,1552779935,94,54.43,54.43,33.37,2.82
292,gat,0,SN,1552777200,77,14.69,14.69,69.8,9.17
293,pitimbu,0,BR,1552777200,83,-7.47,-7.47,78.8,4.7
294,khartoum,0,SD,1552779000,11,15.59,15.59,71.6,10.29
295,tahoua,0,NE,1552779936,22,14.89,14.89,77.25,13.78
296,wasilla,20,US,1552779928,70,61.58,61.58,43.0,11.41
297,luganville,8,VU,1552779886,100,-15.51,-15.51,79.99,4.16
298,roma,0,IT,1552779784,87,41.89,41.89,53.01,3.36
299,hvide sande,92,DK,1552779736,93,56.01,56.01,46.99,20.8
300,salon-de-provence,0,FR,1552779801,87,43.64,43.64,51.8,5.82
301,helong,80,CN,1552779940,99,25.94,25.94,52.86,3.38
302,kozhva,32,RU,1552779940,91,65.11,65.11,18.93,7.74
303,ust-tsilma,24,RU,1552779940,88,65.44,65.44,20.82,5.5
304,lucea,20,JM,1552779169,69,18.44,18.44,80.6,12.75
305,nome,1,US,1552779923,48,30.04,30.04,61.0,2.93
306,belmonte,0,PT,1552779097,92,40.36,40.36,46.99,3.0
307,agadir,0,MA,1552777200,77,30.42,30.42,59.0,4.7
308,ordzhonikidze,92,UA,1552779942,100,44.96,44.96,42.15,4.05
309,ugoofaaru,8,MV,1552779942,98,5.67,5.67,84.27,11.99
310,channel-port aux basques,92,CA,1552779942,88,47.57,47.57,33.46,9.98
311,talnakh,20,RU,1552779942,59,69.49,69.49,-12.71,2.93
312,nha trang,40,VN,1552777200,78,12.24,12.24,80.6,8.05
313,wembley,75,GB,1552779942,87,51.55,51.55,48.2,16.11
314,saint-philippe,1,CA,1552779941,50,45.36,45.36,30.99,14.99
315,regeneracao,32,BR,1552779943,96,-6.24,-6.24,73.56,2.26
316,haines junction,64,CA,1552779818,79,60.75,60.75,35.76,4.05
317,mawlaik,20,MM,1552779943,89,23.63,23.63,63.21,1.92
318,san lawrenz,20,MT,1552779907,87,36.06,36.06,55.99,9.17
319,ratlam,20,IN,1552779944,44,23.33,23.33,62.67,10.09
320,mangrol,48,IN,1552779944,61,25.33,25.33,54.61,2.71
321,luba,80,PH,1552779944,90,17.32,17.32,72.84,3.83
322,raudeberg,44,NO,1552779914,69,61.99,61.99,39.2,9.17
323,ilulissat,0,GL,1552776600,54,69.22,69.22,1.4,8.05
324,ginir,0,ET,1552779945,71,7.14,7.14,53.89,2.26
325,abnub,0,EG,1552779945,74,27.27,27.27,47.41,6.85
326,anadyr,90,RU,1552779790,76,64.73,64.73,-7.01,11.18
327,sambava,36,MG,1552779945,100,-14.27,-14.27,80.58,10.09
328,gandhidham,0,IN,1552779945,98,23.07,23.07,69.01,10.09
329,leshukonskoye,8,RU,1552779946,88,64.9,64.9,20.86,5.5
330,maraba,75,BR,1552777200,94,-5.35,-5.35,80.6,4.7
331,praia,75,BR,1552777200,73,-20.25,-20.25,77.0,6.93
332,richards bay,36,ZA,1552779946,81,-28.77,-28.77,73.56,8.75
333,makakilo city,1,US,1552779788,44,21.35,21.35,82.4,12.75
334,alice town,12,BS,1552779658,100,25.72,25.72,75.9,7.63
335,henties bay,88,NA,1552777326,93,-22.12,-22.12,62.01,1.01
336,tutoia,56,BR,1552779947,88,-2.76,-2.76,79.23,7.52
337,bathsheba,40,BB,1552777200,78,13.22,13.22,78.8,16.11
338,port macquarie,92,AU,1552779245,77,-31.43,-31.43,70.0,5.5
339,maniitsoq,44,GL,1552779881,87,65.42,65.42,9.52,6.85
340,margate,40,AU,1552779437,63,-43.03,-43.03,66.99,4.7
341,hay river,20,CA,1552777200,35,60.82,60.82,42.8,12.75
342,concordia,36,AR,1552779413,68,-31.4,-31.4,78.01,3.0
343,valparaiso,40,US,1552779915,69,41.47,41.47,41.0,3.36
344,mgachi,8,RU,1552779948,80,51.05,51.05,25.86,8.52
345,hays,1,US,1552779073,26,38.88,38.88,57.2,5.82
346,caconda,24,AO,1552779949,91,-13.73,-13.73,55.02,2.93
347,bocas del toro,64,PA,1552779599,59,9.33,9.33,60.01,11.99
348,alta floresta,8,BR,1552779949,93,-9.87,-9.87,77.88,2.04
349,caldwell,1,US,1552779941,26,43.67,43.67,60.01,4.7
350,ferrol,90,ES,1552779906,71,43.48,43.48,55.99,9.17
351,verkhnyachka,20,UA,1552779950,84,48.83,48.83,37.83,16.24
352,sao joao da barra,75,BR,1552777200,83,-21.64,-21.64,80.6,4.7
353,manaure,0,CO,1552777200,74,11.78,11.78,80.6,16.11
354,kortkeros,0,RU,1552777200,85,61.81,61.81,19.4,4.47
355,prabumulih,36,ID,1552779952,96,-3.5,-3.5,72.66,3.83
356,mutoko,80,ZW,1552779952,94,-17.4,-17.4,68.34,5.17
357,vao,88,EE,1552779778,97,59.1,59.1,33.51,3.94
358,brigantine,1,US,1552779948,36,39.41,39.41,46.99,13.87
359,dunedin,8,NZ,1552779879,81,-45.87,-45.87,60.01,8.01
360,tazovskiy,12,RU,1552779953,43,67.47,67.47,-14.06,2.93
361,mackay,40,CA,1552777200,33,53.65,53.65,46.4,4.7
362,yulara,76,AU,1552777200,19,-25.24,-25.24,80.6,10.29
363,balagansk,48,RU,1552779954,83,54.01,54.01,20.86,2.37
364,russell,90,AR,1552777200,82,-33.01,-33.01,59.0,13.87
365,filadelfia,44,PY,1552779955,93,-22.35,-22.35,76.39,5.17
366,pisco,0,PE,1552777200,30,-13.71,-13.71,71.6,24.16
367,sedhiou,0,SN,1552779955,27,12.71,12.71,78.87,10.98
368,adrar,0,DZ,1552777200,17,27.87,27.87,62.6,13.87
369,trang,24,TH,1552779956,80,7.56,7.56,76.71,3.38
370,pyapon,0,MM,1552779956,99,16.29,16.29,73.42,7.07
371,pasni,0,PK,1552779956,91,25.26,25.26,68.92,5.95
372,ngemplak,64,ID,1552779956,100,-7.64,-7.64,74.64,6.73
373,watsa,64,CD,1552779957,84,3.04,3.04,69.42,2.59
374,novosysoyevka,0,RU,1552779787,58,44.23,44.23,30.22,3.27
375,palmer,0,AU,1552779942,60,-34.85,-34.85,81.0,8.05
376,palu,12,ID,1552779957,90,-0.9,-0.9,67.53,1.92
377,labuhan,92,ID,1552779958,95,-2.54,-2.54,70.86,2.48
378,orlik,0,RU,1552779958,70,52.51,52.51,9.61,2.26
379,batagay-alyta,12,RU,1552779772,31,67.8,67.8,-23.29,3.27
380,bonanza,68,NI,1552779958,64,14.03,14.03,78.01,3.83
381,ostrzeszow,80,PL,1552779819,9,51.43,51.43,46.99,13.44
382,constitucion,75,MX,1552779615,11,23.99,23.99,71.6,25.28
383,winnemucca,1,US,1552779053,18,40.97,40.97,60.8,6.93
384,cangucu,80,BR,1552779959,68,-31.39,-31.39,74.59,16.24
385,naron,90,ES,1552779906,71,43.52,43.52,55.99,9.17
386,macapa,40,BR,1552777200,94,0.05,0.05,78.8,3.36
387,marystown,100,CA,1552779693,100,47.17,47.17,42.01,1.99
